"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
0,42,56,40,41,48,49,56,53,51,48,53,38,40,49,66,29,47,26,47,52,46,39,45,51,59,31,49,46,47,57,50,47,44,30,37,48,55,46,56,54,55,44,50,50,50,41,59,53,49,58,44,55,44,50,50,49,56,46,34,54,51,53,46,36,40,55,47,46,50,8,48,46,34,50,30,49,35,49,55,49,39,51
42,0,54,38,39,46,47,54,51,49,46,51,36,14,47,64,25,45,24,45,50,44,37,43,49,57,29,47,44,45,55,48,45,42,28,35,22,53,44,54,52,53,42,48,48,48,39,57,51,47,56,42,53,42,48,48,47,54,44,32,52,49,51,44,34,38,53,45,44,48,40,46,44,32,48,28,47,33,47,53,47,9,49
56,54,0,50,51,42,25,42,39,25,30,47,26,52,25,48,41,29,36,33,46,52,31,21,37,53,41,31,50,47,43,44,33,18,36,47,60,41,40,42,48,41,30,36,36,36,45,53,47,25,44,14,49,40,44,36,31,42,42,44,54,23,47,28,46,46,41,41,24,44,54,30,42,38,36,40,35,39,31,41,43,51,45
40,38,50,0,5,42,43,50,47,45,42,47,32,36,43,60,25,41,16,41,46,40,33,39,45,53,21,43,40,41,51,44,41,38,24,13,44,49,40,50,48,49,38,44,44,44,35,53,47,43,52,38,49,38,44,44,43,50,40,24,48,45,47,40,26,34,49,41,40,44,38,42,40,28,44,22,43,29,43,49,43,35,45
41,39,51,5,0,43,44,51,48,46,43,48,33,37,44,61,26,42,17,42,47,41,34,40,46,54,22,44,41,42,52,45,42,39,25,14,45,50,41,51,49,50,39,45,45,45,36,54,48,44,53,39,50,39,45,45,44,51,41,25,49,46,48,41,27,35,50,42,41,45,39,43,41,29,45,23,44,30,44,50,44,36,46
48,46,42,42,43,0,35,42,39,37,34,25,24,44,35,52,33,33,28,33,24,44,25,31,37,27,33,35,42,39,43,22,33,30,28,39,52,41,18,42,22,41,30,36,36,36,37,31,25,35,44,30,27,32,22,36,35,42,34,36,46,37,25,32,38,38,41,19,32,18,46,34,34,30,36,32,35,31,35,41,21,43,23
49,47,25,43,44,35,0,35,32,20,23,40,19,45,18,41,34,22,29,26,39,45,24,14,30,46,34,24,43,40,36,37,26,13,29,40,53,34,33,35,41,34,23,29,29,29,38,46,40,18,37,13,42,33,37,29,24,35,35,37,47,20,40,21,39,39,34,34,17,37,47,23,35,31,29,33,28,32,24,34,36,44,38
56,54,42,50,51,42,35,0,37,37,34,47,26,52,35,52,41,33,36,17,46,52,31,31,35,53,41,35,50,47,5,44,31,30,36,47,60,39,40,26,48,39,28,34,34,34,45,53,47,35,28,30,49,40,44,22,35,40,42,44,54,37,47,32,46,46,27,41,32,44,54,34,42,38,34,40,21,39,35,7,43,51,45
53,51,39,47,48,39,32,37,0,34,31,44,23,49,32,49,38,30,33,28,43,49,28,28,4,50,38,32,47,44,38,41,20,27,33,44,57,28,37,37,45,28,17,5,5,5,42,50,44,32,39,27,46,37,41,31,32,7,39,41,51,34,44,29,43,43,36,38,29,41,51,31,39,35,13,37,30,36,32,36,40,48,42
51,49,25,45,46,37,20,37,34,0,25,42,21,47,20,43,36,24,31,28,41,47,26,16,32,48,36,26,45,42,38,39,28,11,31,42,55,36,35,37,43,36,25,31,31,31,40,48,42,20,39,13,44,35,39,31,26,37,37,39,49,20,42,23,41,41,36,36,19,39,49,25,37,33,31,35,30,34,26,36,38,46,40
48,46,30,42,43,34,23,34,31,25,0,39,18,44,23,38,33,3,28,25,38,44,23,19,29,45,33,9,42,39,35,36,25,18,28,39,52,33,32,34,40,33,22,28,28,28,37,45,39,23,36,18,41,32,36,28,17,34,34,36,46,25,39,14,38,38,33,33,20,36,46,8,34,30,28,32,27,31,11,33,35,43,37
53,51,47,47,48,25,40,47,44,42,39,0,29,49,40,57,38,38,33,38,21,49,30,36,42,36,38,40,47,44,48,19,38,35,33,44,57,46,15,47,31,46,35,41,41,41,42,8,2,40,49,35,4,37,21,41,40,47,39,41,51,42,22,37,43,43,46,12,37,27,51,39,39,35,41,37,40,36,40,46,18,48,20
38,36,26,32,33,24,19,26,23,21,18,29,0,34,19,36,23,17,18,17,28,34,13,15,21,35,23,19,32,29,27,26,17,14,18,29,42,25,22,26,30,25,14,20,20,20,27,35,29,19,28,14,31,22,26,20,19,26,24,26,36,21,29,16,28,28,25,23,16,26,36,18,24,20,20,22,19,21,19,25,25,33,27
40,14,52,36,37,44,45,52,49,47,44,49,34,0,45,62,23,43,22,43,48,42,35,41,47,55,27,45,42,43,53,46,43,40,26,33,12,51,42,52,50,51,40,46,46,46,37,55,49,45,54,40,51,40,46,46,45,52,42,30,50,47,49,42,32,36,51,43,42,46,38,44,42,30,46,26,45,31,45,51,45,11,47
49,47,25,43,44,35,18,35,32,20,23,40,19,45,0,41,34,22,29,26,39,45,24,12,30,46,34,24,43,40,36,37,26,13,29,40,53,34,33,35,41,34,23,29,29,29,38,46,40,14,37,13,42,33,37,29,24,35,35,37,47,20,40,21,39,39,34,34,17,37,47,23,35,31,29,33,28,32,24,34,36,44,38
66,64,48,60,61,52,41,52,49,43,38,57,36,62,41,0,51,37,46,43,56,62,41,37,47,63,51,39,60,57,53,54,43,36,46,57,70,51,50,52,58,51,40,46,46,46,55,63,57,41,54,36,59,50,54,46,39,52,52,54,64,43,57,36,56,56,51,51,38,54,64,38,52,48,46,50,45,49,39,51,53,61,55
29,25,41,25,26,33,34,41,38,36,33,38,23,23,34,51,0,32,11,32,37,31,24,30,36,44,16,34,31,32,42,35,32,29,15,22,31,40,31,41,39,40,29,35,35,35,26,44,38,34,43,29,40,29,35,35,34,41,31,19,39,36,38,31,21,25,40,32,31,35,27,33,31,19,35,15,34,20,34,40,34,22,36
47,45,29,41,42,33,22,33,30,24,3,38,17,43,22,37,32,0,27,24,37,43,22,18,28,44,32,8,41,38,34,35,24,17,27,38,51,32,31,33,39,32,21,27,27,27,36,44,38,22,35,17,40,31,35,27,16,33,33,35,45,24,38,13,37,37,32,32,19,35,45,7,33,29,27,31,26,30,10,32,34,42,36
26,24,36,16,17,28,29,36,33,31,28,33,18,22,29,46,11,27,0,27,32,26,19,25,31,39,7,29,26,27,37,30,27,24,10,13,30,35,26,36,34,35,24,30,30,30,21,39,33,29,38,24,35,24,30,30,29,36,26,10,34,31,33,26,12,20,35,27,26,30,24,28,26,14,30,8,29,15,29,35,29,21,31
47,45,33,41,42,33,26,17,28,28,25,38,17,43,26,43,32,24,27,0,37,43,22,22,26,44,32,26,41,38,18,35,22,21,27,38,51,30,31,11,39,30,19,25,25,25,36,44,38,26,13,21,40,31,35,13,26,31,33,35,45,28,38,23,37,37,18,32,23,35,45,25,33,29,25,31,12,30,26,16,34,42,36
52,50,46,46,47,24,39,46,43,41,38,21,28,48,39,56,37,37,32,37,0,48,29,35,41,35,37,39,46,43,47,8,37,34,32,43,56,45,10,46,30,45,34,40,40,40,41,27,21,39,48,34,23,36,20,40,39,46,38,40,50,41,11,36,42,42,45,15,36,26,50,38,38,34,40,36,39,35,39,45,15,47,9
46,44,52,40,41,44,45,52,49,47,44,49,34,42,45,62,31,43,26,43,48,0,35,41,47,55,31,45,42,43,53,46,43,40,24,37,50,51,42,52,50,51,40,46,46,46,37,55,49,45,54,40,51,40,46,46,45,52,42,34,50,47,49,42,36,8,51,43,42,46,44,44,42,30,46,30,45,31,45,51,45,41,47
39,37,31,33,34,25,24,31,28,26,23,30,13,35,24,41,24,22,19,22,29,35,0,20,26,36,24,24,33,30,32,27,22,19,19,30,43,30,23,31,31,30,19,25,25,25,28,36,30,24,33,19,32,23,27,25,24,31,25,27,37,26,30,21,29,29,30,24,21,27,37,23,25,21,25,23,24,22,24,30,26,34,28
45,43,21,39,40,31,14,31,28,16,19,36,15,41,12,37,30,18,25,22,35,41,20,0,26,42,30,20,39,36,32,33,22,9,25,36,49,30,29,31,37,30,19,25,25,25,34,42,36,12,33,9,38,29,33,25,20,31,31,33,43,16,36,17,35,35,30,30,13,33,43,19,31,27,25,29,24,28,20,30,32,40,34
51,49,37,45,46,37,30,35,4,32,29,42,21,47,30,47,36,28,31,26,41,47,26,26,0,48,36,30,45,42,36,39,18,25,31,42,55,26,35,35,43,26,15,3,3,3,40,48,42,30,37,25,44,35,39,29,30,7,37,39,49,32,42,27,41,41,34,36,27,39,49,29,37,33,11,35,28,34,30,34,38,46,40
59,57,53,53,54,27,46,53,50,48,45,36,35,55,46,63,44,44,39,44,35,55,36,42,48,0,44,46,53,50,54,33,44,41,39,50,63,52,29,53,19,52,41,47,47,47,48,42,36,46,55,41,38,43,33,47,46,53,45,47,57,48,36,43,49,49,52,30,43,23,57,45,45,41,47,43,46,42,46,52,32,54,34
31,29,41,21,22,33,34,41,38,36,33,38,23,27,34,51,16,32,7,32,37,31,24,30,36,44,0,34,31,32,42,35,32,29,15,18,35,40,31,41,39,40,29,35,35,35,26,44,38,34,43,29,40,29,35,35,34,41,31,7,39,36,38,31,9,25,40,32,31,35,29,33,31,19,35,13,34,20,34,40,34,26,36
49,47,31,43,44,35,24,35,32,26,9,40,19,45,24,39,34,8,29,26,39,45,24,20,30,46,34,0,43,40,36,37,26,19,29,40,53,34,33,35,41,34,23,29,29,29,38,46,40,24,37,19,42,33,37,29,18,35,35,37,47,26,40,15,39,39,34,34,21,37,47,7,35,31,29,33,28,32,12,34,36,44,38
46,44,50,40,41,42,43,50,47,45,42,47,32,42,43,60,31,41,26,41,46,42,33,39,45,53,31,43,0,41,51,44,41,38,26,37,50,49,40,50,48,49,38,44,44,44,29,53,47,43,52,38,49,38,44,44,43,50,40,34,48,45,47,40,36,36,49,41,40,44,44,42,40,20,44,30,43,23,43,49,43,41,45
47,45,47,41,42,39,40,47,44,42,39,44,29,43,40,57,32,38,27,38,43,43,30,36,42,50,32,40,41,0,48,41,38,35,27,38,51,46,37,47,45,46,35,41,41,41,36,50,44,40,49,35,46,35,41,41,40,47,37,35,25,42,44,37,37,37,46,38,37,41,45,39,37,29,41,31,40,30,40,46,40,42,42
57,55,43,51,52,43,36,5,38,38,35,48,27,53,36,53,42,34,37,18,47,53,32,32,36,54,42,36,51,48,0,45,32,31,37,48,61,40,41,27,49,40,29,35,35,35,46,54,48,36,29,31,50,41,45,23,36,41,43,45,55,38,48,33,47,47,28,42,33,45,55,35,43,39,35,41,22,40,36,8,44,52,46
50,48,44,44,45,22,37,44,41,39,36,19,26,46,37,54,35,35,30,35,8,46,27,33,39,33,35,37,44,41,45,0,35,32,30,41,54,43,8,44,28,43,32,38,38,38,39,25,19,37,46,32,21,34,18,38,37,44,36,38,48,39,7,34,40,40,43,13,34,24,48,36,36,32,38,34,37,33,37,43,13,45,3
47,45,33,41,42,33,26,31,20,28,25,38,17,43,26,43,32,24,27,22,37,43,22,22,18,44,32,26,41,38,32,35,0,21,27,38,51,14,31,31,39,14,7,17,17,17,36,44,38,26,33,21,40,31,35,25,26,23,33,35,45,28,38,23,37,37,30,32,23,35,45,25,33,29,17,31,24,30,26,30,34,42,36
44,42,18,38,39,30,13,30,27,11,18,35,14,40,13,36,29,17,24,21,34,40,19,9,25,41,29,19,38,35,31,32,21,0,24,35,48,29,28,30,36,29,18,24,24,24,33,41,35,13,32,6,37,28,32,24,19,30,30,32,42,13,35,16,34,34,29,29,12,32,42,18,30,26,24,28,23,27,19,29,31,39,33
30,28,36,24,25,28,29,36,33,31,28,33,18,26,29,46,15,27,10,27,32,24,19,25,31,39,15,29,26,27,37,30,27,24,0,21,34,35,26,36,34,35,24,30,30,30,21,39,33,29,38,24,35,24,30,30,29,36,26,18,34,31,33,26,20,18,35,27,26,30,28,28,26,14,30,14,29,15,29,35,29,25,31
37,35,47,13,14,39,40,47,44,42,39,44,29,33,40,57,22,38,13,38,43,37,30,36,42,50,18,40,37,38,48,41,38,35,21,0,41,46,37,47,45,46,35,41,41,41,32,50,44,40,49,35,46,35,41,41,40,47,37,21,45,42,44,37,23,31,46,38,37,41,35,39,37,25,41,19,40,26,40,46,40,32,42
48,22,60,44,45,52,53,60,57,55,52,57,42,12,53,70,31,51,30,51,56,50,43,49,55,63,35,53,50,51,61,54,51,48,34,41,0,59,50,60,58,59,48,54,54,54,45,63,57,53,62,48,59,48,54,54,53,60,50,38,58,55,57,50,40,44,59,51,50,54,46,52,50,38,54,34,53,39,53,59,53,19,55
55,53,41,49,50,41,34,39,28,36,33,46,25,51,34,51,40,32,35,30,45,51,30,30,26,52,40,34,49,46,40,43,14,29,35,46,59,0,39,39,47,2,15,25,25,25,44,52,46,34,41,29,48,39,43,33,34,31,41,43,53,36,46,31,45,45,38,40,31,43,53,33,41,37,25,39,32,38,34,38,42,50,44
46,44,40,40,41,18,33,40,37,35,32,15,22,42,33,50,31,31,26,31,10,42,23,29,35,29,31,33,40,37,41,8,31,28,26,37,50,39,0,40,24,39,28,34,34,34,35,21,15,33,42,28,17,30,14,34,33,40,32,34,44,35,11,30,36,36,39,9,30,20,44,32,32,28,34,30,33,29,33,39,9,41,9
56,54,42,50,51,42,35,26,37,37,34,47,26,52,35,52,41,33,36,11,46,52,31,31,35,53,41,35,50,47,27,44,31,30,36,47,60,39,40,0,48,39,28,34,34,34,45,53,47,35,12,30,49,40,44,22,35,40,42,44,54,37,47,32,46,46,27,41,32,44,54,34,42,38,34,40,21,39,35,25,43,51,45
